,sub_category_code,item_count,page_count,date
0,001001,42848,477,2021-03-30
1,001010,13454,150,2021-03-30
2,001011,2386,27,2021-03-30
3,001002,18984,211,2021-03-30
4,001003,3721,42,2021-03-30
5,001005,26322,293,2021-03-30
6,001004,16967,189,2021-03-30
7,001006,10507,117,2021-03-30
8,001008,794,9,2021-03-30
9,002022,3122,35,2021-03-30
10,002001,1774,20,2021-03-30
11,002002,1813,21,2021-03-30
12,002017,2176,25,2021-03-30
13,002003,4796,54,2021-03-30
14,002020,4306,48,2021-03-30
15,002019,1297,15,2021-03-30
16,002023,2722,31,2021-03-30
17,002018,1292,15,2021-03-30
18,002004,304,4,2021-03-30
19,002008,2007,23,2021-03-30
20,002007,1225,14,2021-03-30
21,002009,1640,19,2021-03-30
22,002013,1103,13,2021-03-30
23,002012,3565,40,2021-03-30
24,002016,573,7,2021-03-30
25,002021,1827,21,2021-03-30
26,002014,1405,16,2021-03-30
27,002006,3945,44,2021-03-30
28,002015,2430,27,2021-03-30
