category,category_code,subcategory,sub_category_code
상의,001,반팔 티셔츠,001001
상의,001,긴팔 티셔츠,001010
상의,001,민소매 티셔츠,001011
상의,001,셔츠/블라우스,001002
상의,001,피케/카라 티셔츠,001003
상의,001,맨투맨/스웨트셔츠,001005
상의,001,후드 티셔츠,001004
상의,001,니트/스웨터,001006
상의,001,기타 상의,001008
아우터,002,후드 집업,002022
아우터,002,블루종/MA-1,002001
아우터,002,레더/라이더스 재킷,002002
아우터,002,트래커 재킷,002017
아우터,002,슈트/블레이저 재킷,002003
아우터,002,카디건,002020
아우터,002,아노락 재킷,002019
아우터,002,플리스/뽀글이,002023
아우터,002,트레이닝 재킷,002018
아우터,002,스타디움 재킷,002004
아우터,002,환절기 코트,002008
아우터,002,겨울 싱글 코트,002007
아우터,002,겨울 기타 코트,002009
아우터,002,롱 패딩/롱 헤비 아우터,002013
아우터,002,숏 패딩/숏 헤비 아우터,002012
아우터,002,패딩 베스트,002016
아우터,002,베스트,002021
아우터,002,사파리/헌팅 재킷,002014
아우터,002,나일론/코치 재킷,002006
아우터,002,기타 아우터,002015
